LAPSYD	PHOIBLE_REF	PHOIBLE_KEY
Abbott, Clifford. 2000. Oneida. Lincom Europa, München.		
Abdalla, A.I. 1973. Kadugli Language and Language Usage (Salambi Prize Series 3). Khartoum University Press, Khartoum.	Abdalla, Abdalla Ibrahim. 1973. {Kadugli Language and Language Usage}. Khartoum. Khartoum University Press. 3	Abdalla1973
Abdel-Hafiz, Ahmed S. 1988. A Reference Grammar of Kunuz Nubian. Ph D. dissertation, Sate University of New York at Buffalo.		
Abdel-Massih, Ernest T. 1971. A Reference Grammar of Tamazight (Middle Atlas Berber). Center for Near Eastern and North African Studies, University of Michigan, Ann Arbor.		
Abdel-Massih, T. 1973. An Introduction to Moroccan Arabic. Center for Near Eastern and North African Studies, University of Michigan, Ann Arbor.	Abdel-Massih, Ernest T.. 1973. {An Introduction to Moroccan Arabic}. Ann Arbor, MI. Center for Near Eastern and North African Studies, University of Michigan	Abdel-Massih1973
Abebe, Alemayeh 2002. Ometo Dialect Pilot Survey Report. SIL International, Dallas. (Contains wordlist of 300+ items in Dawro).		
Abega, P. 1970. Grammaire Ewondo. Section de Linguistique Appliquée, Universite Federale du Cameroun, Yaoundé.	Abega, P.. 1970. {Grammaire Ewondo}. Yaound{\'{e}}. D{\'{e}}partement des langues africaines et linguistique, Universit{\'{e}} F{\'{e}}d{\'{e}}rale du Cameroun	Abega1970
Abraha Ashkaba, John and Richard Hayward. 1999. Illustrations of the IPA: Kunama. Journal of the International Phonetic Association 29: 178-185.	Ashkaba, John Abraha; Hayward, Richard. 1999. Illustrations of the IPA: Kunama. Cambridge University Press. 29. 179--185	kun_ashkaba1999
Abraham, P. T. 2005. A Grammar of Nyishi Language. Farsight Publishers and Distributors, Delhi. Archived at https://web.archive.org/web/20151222115712/http://www.rogerblench.info/Language/South%20Asia/NEI/Tani/Nishi/Linguistics/Nyishi%20grammar%20Abraham%202005.pdf		
Abrahamson, Arne & Joyce Abrahamson. 1984. Os fonemas da língua Júma. In Robert A. Dooley (ed.), Estudos sobre Línguas Tupí do Brasil (Série Lingüística 11). Summer Institute of Linguistics, Brasília: 157-174.	Abrahamson, Arne; Abrahamson, Joyce. 1984. Os fonemas da l{\'\i}ngua j{\'u}ma. Estudos sobre l{\'\i}nguas tup{\'\i} do Brasil. Bras{\'\i}lia. Summer Institute of Linguistics. 11. 157--74	2086_Abrahamsonetal1984
Abrahamson, Arne. 1962. Cayapa: Grammatical notes and texts. In Benjamin F. Elson (ed.), Studies in Ecuadorian Indian languages 1, Linguistic Series 7. Summer Institute of Linguistics of the University of Oklahoma, Norman: 217-247.		
Abramson, Arthur S. 1962. The Vowels and Tones of Standard Thai: Acoustical Measurements and Experiments (IJAL 28/2 Part II, Indiana University Publications in Anthropology, Folklore and Linguistics 20). Indiana University, Bloomington.	Abramson, Arthur S.. 1962. {The Vowels and Tones of Standard Thai: Acoustical Measurements and Experiments}. Bloomington. Indiana University. 28	Abramson1962
Acharya, Jayaraj. 1991. A Descriptive Grammar of Nepali and an Analyzed Corpus. Georgetown Universiyt Press, Washington DC.		
Additional references on frequency: --- Boë, J-L and J. P. Tubach. 1992. Une base de donnees lexicale orthographique-phonetique du français parlé. Cahiers de grammaire 17, Universite de Toulouse-Le Mirail.		
