ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Marginal,Catalog,Contribution_ID
974,ajyininka_ajyi1238,BIPA_ts_u0074u0073,ts,,,,false,lapsyd,ajyininka
975,awapit_awac1239,BIPA_t_u0074u032A,t̪,,,,false,lapsyd,awapit
976,maithili_mait1250,BIPA_g_u0261u0324,ɡ̤,,,,false,lapsyd,maithili
978,manange_cent1394,BIPA_kh_u006Bu02B0,kʰ,,,,false,lapsyd,manange
979,zoquecopainala_copa1236,BIPA_ng_u014B,ŋ,,,,false,lapsyd,zoquecopainala
980,kogi_cogu1240,BIPA_d_u0064,d,,,,false,lapsyd,kogi
981,tuva_tuvi1240,BIPA_o_u006F,o,,,,false,lapsyd,tuva
982,lezgian_lezg1247,BIPA_p_u0070u02BC,pʼ,,,,false,lapsyd,lezgian
983,grico_mode1248,BIPA_n_u006Eu032A,n̪,,,,false,lapsyd,greek
984,eseejja_esee1248,BIPA_s_u0073,s,,,,false,lapsyd,eseejja
985,guaraniparaguayan_para1311,BIPA_a_u00E3,ã,,,,false,lapsyd,guaraniparaguayan
986,japanese_nucl1643,BIPA_e_u0065u02D0,eː,,,,false,lapsyd,japanese
987,russian_russ1263,BIPA_dj_u0064u032Au02B2,d̪ʲ,,,,false,lapsyd,russian
988,ticuna_ticu1245,BIPA_u_u0075,u,,,,false,lapsyd,ticuna
989,madisouthernlokaidialect_loka1255,BIPA_dz_u0064u0320u0292,d̠ʒ,,,,false,lapsyd,madisouthernlokaidialect
990,hobyot_hote1245,BIPA_m_u006D,m,,,,false,lapsyd,hobyot
992,adjukru_adio1239,BIPA_k_u006B,k,,,,false,lapsyd,adjukru
993,seneca_sene1264,BIPA_k_u006B,k,,,,false,lapsyd,seneca
994,tohonooodham_toho1245,BIPA_i_u0268,ɨ,,,,false,lapsyd,tohonooodham
995,pacoh_paco1243,BIPA_ph_u0070u02B0,pʰ,,,,false,lapsyd,pacoh
996,santali_sant1410,BIPA_j_u006A,j,,,,false,lapsyd,santali
997,selkuptaznortherndialect_selk1253,BIPA_e_u0065,e,,,,false,lapsyd,selkuptaznortherndialect
999,sorbianupperdialect_uppe1395,BIPA_k_u006B,k,,,,false,lapsyd,sorbianupperdialect
1000,murle_murl1244,BIPA_e_u025Bu02D0,ɛː,,,,false,lapsyd,murle
1001,mehrimehreyyetdialect_mehr1241,BIPA_a_u0061,a,,,,false,lapsyd,mehrimehreyyetdialect
1002,malgbe_malg1250,BIPA_o_u006Fu02D0,oː,,,,false,lapsyd,malgbe
1003,kwaza_kwaz1243,BIPA_ts_u0074u0320u0283,t̠ʃ,,,,false,lapsyd,kwaza
1004,waris_wari1266,BIPA_u_u0075,u,,,,false,lapsyd,waris
1005,southernnambiquara_sout2994,BIPA_au_u0061u0075,au,,,,false,lapsyd,southernnambiquara
1006,yurok_yuro1248,BIPA_p_u0070,p,,,,false,lapsyd,yurok
1007,bororo_boro1282,BIPA_i_u0268,ɨ,,,,false,lapsyd,bororo
1008,uyghurstandarddialectofurumqi_uigh1240,BIPA_s_u0283,ʃ,,,,false,lapsyd,uyghurstandarddialectofurumqi
1009,pitjantjatjara_pitj1243,BIPA_ng_u014B,ŋ,,,,false,lapsyd,pitjantjatjara
1010,ngizim_ngiz1242,BIPA_i_u0268,ɨ,,,,false,lapsyd,ngizim
1012,norwegian_norw1258,BIPA_n_u0273,ɳ,,,,false,lapsyd,norwegian
1013,kadugli_katc1249,BIPA_i_u0069,i,,,,false,lapsyd,kadugli
1015,mapudungun_mapu1245,BIPA_ng_u014B,ŋ,,,,false,lapsyd,mapudungun
1016,iaai_iaai1238,BIPA_n_u0273u0325,ɳ̥,,,,false,lapsyd,iaai
1017,apalai_apal1257,BIPA_p_u0070,p,,,,false,lapsyd,apalai
1018,burmese_nucl1310,BIPA__u0259,ə,,,,false,lapsyd,burmese
1019,dutch_dutc1256,BIPA_v_u0076,v,,,,false,lapsyd,dutch
1020,jebero_jebe1250,BIPA__u0259,ə,,,,false,lapsyd,jebero
1021,irantxe_iran1263,BIPA_e_u025Bu0303,ɛ̃,,,,false,lapsyd,irantxe
1022,koromfe_koro1298,BIPA_ng_u014B,ŋ,,,,false,lapsyd,koromfe
1023,kickapoo_kick1244,BIPA_a_u0061u02D0,aː,,,,false,lapsyd,kickapoo
1024,diyari_dier1241,BIPA_r_u027E,ɾ,,,,false,lapsyd,diyari
1025,mbum_mbum1254,BIPA_gb_u0261u0062,ɡb,,,,false,lapsyd,mbum
1026,bariba_baat1238,BIPA_i_u0069,i,,,,false,lapsyd,bariba
1027,madacameroun_mada1293,BIPA_d_u0064u032A,d̪,,,,false,lapsyd,madacameroun
1028,french_stan1290,BIPA_ng_u014B,ŋ,,,,false,lapsyd,french
1029,tlapanecmalinaltepec_mali1285,BIPA_ngg_u014Bu0261,ŋɡ,,,,false,lapsyd,tlapanecmalinaltepec
1030,finnish_finn1318,BIPA_r_u0072,'r',,,,true,lapsyd,finnish
1031,urarina_urar1246,BIPA_a_u0061,a,,,,false,lapsyd,urarina
1032,totonacpapantladialect_papa1238,BIPA_n_u006E,n,,,,false,lapsyd,totonacpapantladialect
1033,kukuyalanji_kuku1273,BIPA_w_u0077,w,,,,false,lapsyd,kukuyalanji
1034,mundari_mund1320,BIPA_d_u0256,ɖ,,,,false,lapsyd,mundari
1035,sorbianupperdialect_uppe1395,BIPA_mj_u006Du02B2,mʲ,,,,false,lapsyd,sorbianupperdialect
1036,nahuatlnorthpuebla_nort2957,BIPA_t_u0074u032A,t̪,,,,false,lapsyd,nahuatlnorthpuebla
1037,yabem_yabe1254,BIPA_ng_u014B,ŋ,,,,false,lapsyd,yabem
1038,murrinhpatha_murr1258,BIPA_p_u0070,p,,,,false,lapsyd,murrinhpatha
1039,sango_sang1328,BIPA_i_u0069,i,,,,false,lapsyd,sango
1040,towa_jeme1245,BIPA_kj_u006Bu02B2u02BC,kʲʼ,,,,false,lapsyd,towa
1041,guaraniparaguayan_para1311,BIPA_nggw_u014Bu0261u02B7,ŋɡʷ,,,,false,lapsyd,guaraniparaguayan
1043,ndut_ndut1239,BIPA_g_u0261,ɡ,,,,false,lapsyd,ndut
1044,achumawi_achu1247,BIPA_q_u0071u02BC,qʼ,,,,false,lapsyd,achumawi
1045,hausa_haus1257,BIPA_a_u0061u02D0,aː,,,,false,lapsyd,hausa
1046,ahtna_ahte1237,BIPA_s_u0073,s,,,,false,lapsyd,ahtna
1047,darai_dara1250,BIPA_d_u0256u0324,ɖ̤,,,,false,lapsyd,darai
1048,yabem_yabe1254,BIPA_i_u026A,ɪ,,,,false,lapsyd,yabem
1049,mofugugur_mofu1248,BIPA_ts_u0074u0320u0283,t̠ʃ,,,,false,lapsyd,mofugugur
1050,eseejja_esee1248,BIPA_a_u0061,a,,,,false,lapsyd,eseejja
1051,lepcha_lepc1244,BIPA_l_u006Cu032A,l̪,,,,false,lapsyd,lepcha
1052,adzera_adze1240,BIPA_w_u0077,w,,,,false,lapsyd,adzera
1053,mundari_mund1320,BIPA_g_u0261,ɡ,,,,false,lapsyd,mundari
1054,karao_kara1487,BIPA__u0259,ə,,,,false,lapsyd,karao
1055,hainanese_minn1241,BIPA_e_u0065,e,,,,false,lapsyd,hainanese
1056,mandarin_mand1415,BIPA_i_u0069,i,,,,false,lapsyd,mandarin
1057,natugu_natu1246,BIPA_j_u006A,j,,,,false,lapsyd,natugu
1058,xavante_xava1240,BIPA__u0294,ʔ,,,,false,lapsyd,xavante
1059,iban_iban1264,BIPA_r_u0072,r,,,,false,lapsyd,iban
1060,ingush_ingu1240,BIPA_q_u0071,q,,,,false,lapsyd,ingush
1061,egyptianarabic_egyp1253,BIPA_dz_u0064u0320u0292,d̠ʒ,,,,false,lapsyd,egyptianarabic
1062,kekchi_kekc1242,BIPA_o_u006F,o,,,,false,lapsyd,kekchi
1063,bunuba_buna1275,BIPA_w_u0077,w,,,,false,lapsyd,bunuba
1064,tampulma_tamp1252,BIPA_i_u026Au02D0,ɪː,,,,false,lapsyd,tampulma
1065,hupa_hupa1239,BIPA_c_u0063,c,,,,false,lapsyd,hupa
1066,french_stan1290,BIPA_s_u0283,ʃ,,,,false,lapsyd,french
1067,yuchi_yuch1247,BIPA_ts_u0074u0320u0283u02BC,t̠ʃʼ,,,,false,lapsyd,yuchi
1068,hupa_hupa1239,BIPA_q_u0071,q,,,,false,lapsyd,hupa
1069,chukchi_chuk1273,BIPA_m_u006D,m,,,,false,lapsyd,chukchi
1070,noni_noon1243,BIPA_dz_u0064u0320u0292,d̠ʒ,,,,false,lapsyd,noni
1071,diolafogny_jola1263,BIPA_f_u0066,f,,,,false,lapsyd,diolafogny
1072,tuva_tuvi1240,BIPA_ts_u0074u032Au0073u032A,t̪s̪,,,,false,lapsyd,tuva
1074,tariana_tari1256,BIPA_n_u006Eu032Au0324,n̪̤,,,,false,lapsyd,tariana
1076,pacoh_paco1243,BIPA_b_u0253,ɓ,,,,false,lapsyd,pacoh
1078,kotaindia_kota1263,BIPA_r_u027D,ɽ,,,,false,lapsyd,kotaindia
1079,amharic_amha1245,BIPA_o_u006F,o,,,,false,lapsyd,amharic
1080,inga_inga1252,BIPA_o_u006F,o,,,,false,lapsyd,inga
1081,bagirmi_bagi1246,BIPA_n_u0272,ɲ,,,,false,lapsyd,bagirmi
1082,kekchi_kekc1242,BIPA_ts_u0074u0073,ts,,,,false,lapsyd,kekchi
1083,southernkiwaiislanddialect_sout2949,BIPA_e_u0065,e,,,,false,lapsyd,southernkiwaiislanddialect
1084,totonacpapantladialect_papa1238,BIPA_i_u0069,i,,,,false,lapsyd,totonacpapantladialect
1085,tohonooodham_toho1245,BIPA_i_u0069,i,,,,false,lapsyd,tohonooodham
1086,nepalikathmandudialect_nepa1254,BIPA_th_u0074u032Au02B0,t̪ʰ,,,,false,lapsyd,nepalikathmandudialect
1088,kafa_kafa1242,BIPA_k_u006B,k,,,,false,lapsyd,kafa
1089,tzeltalaguacatenangodialect_tzel1254,BIPA_m_u006D,m,,,,false,lapsyd,tzeltalaguacatenangodialect
1090,bocotachiriquidialect_bugl1243,BIPA_h_u0068,h,,,,false,lapsyd,bocotachiriquidialect
1091,asmatcentralkawenaldialect_cent2117,BIPA_w_u0077,w,,,,false,lapsyd,asmatcentralkawenaldialect
1092,kunuznubian_kenu1243,BIPA_a_u0061u02D0,aː,,,,false,lapsyd,kunuznubian
1093,bisu_bisu1244,BIPA_u_u0075,u,,,,false,lapsyd,bisu
1096,jicarillaapache_jica1244,BIPA_e_u1EBD,ẽ,,,,false,lapsyd,jicarillaapache
1097,koya_koya1251,BIPA_d_u0064u032A,d̪,,,,false,lapsyd,koya
1098,iban_iban1264,BIPA_o_u0254,ɔ,,,,false,lapsyd,iban
1099,hungarian_hung1274,BIPA_ts_u0074u032Au0073u032A,t̪s̪,,,,false,lapsyd,hungarian
1100,turkish_nucl1301,BIPA_g_u0261,ɡ,,,,false,lapsyd,turkish
1101,apinaye_apin1244,BIPA_nd_u006Eu0064,nd,,,,false,lapsyd,apinaye
1102,munduruku_mund1330,BIPA_n_u0272,ɲ,,,,false,lapsyd,munduruku
1103,gaahmg_gaam1241,BIPA_k_u006B,k,,,,false,lapsyd,gaahmg
1104,paumari_paum1247,BIPA_u_u028A,ʊ,,,,false,lapsyd,paumari
1105,itonama_iton1250,BIPA_h_u0068,h,,,,false,lapsyd,itonama
1106,guaraniparaguayan_para1311,BIPA_u_u0169,ũ,,,,false,lapsyd,guaraniparaguayan
1107,yawa_nucl1454,BIPA_ui_u0075u0069,ui,,,,false,lapsyd,yawa
1109,sierramiwoksouthern_sout2985,BIPA_i_u0069,i,,,,false,lapsyd,sierramiwoksouthern
1110,bengali_beng1280,BIPA_a_u00E3,ã,,,,false,lapsyd,bengali
1111,dutch_dutc1256,BIPA_ou_u006Fu0075,ou,,,,false,lapsyd,dutch
1112,ekari_ekar1243,BIPA_t_u0074,t,,,,false,lapsyd,ekari
1113,sinhala_sinh1246,BIPA_f_u0278,ɸ,,,,false,lapsyd,sinhala
1114,amele_amel1241,BIPA_o_u006F,o,,,,false,lapsyd,amele
1115,purepecha_pure1242,BIPA_th_u0074u02B0,tʰ,,,,false,lapsyd,purepecha
1116,yulu_yulu1243,BIPA_s_u0283,ʃ,,,,false,lapsyd,yulu
1117,dawro_dawr1236,BIPA_a_u0061,a,,,,false,lapsyd,dawro
1118,azande_zand1248,UNK_nr_u006Eu027A,nɺ,,,,false,lapsyd,azande
1119,tlapanecmalinaltepec_mali1285,BIPA_o_u00F5,õ,,,,false,lapsyd,tlapanecmalinaltepec
1120,shasta_shas1239,BIPA_s_u0073,s,,,,false,lapsyd,shasta
1121,nuxalk_bell1243,BIPA_l_u006C,l,,,,false,lapsyd,nuxalk
1122,urarina_urar1246,BIPA_u_u0289u0303u02D0,ʉ̃ː,,,,false,lapsyd,urarina
1123,miskitu_misk1235,BIPA_d_u0064,d,,,,false,lapsyd,miskitu
1125,tera_tera1251,BIPA_dz_u0064u0320u0292,d̠ʒ,,,,false,lapsyd,tera
1126,mauwake_mauw1238,BIPA_f_u0278,ɸ,,,,false,lapsyd,mauwake
1127,inga_inga1252,BIPA_e_u0065,e,,,,false,lapsyd,inga
1128,kukuyalanji_kuku1273,BIPA_p_u0070,p,,,,false,lapsyd,kukuyalanji
1129,nepalikathmandudialect_nepa1254,BIPA_n_u006E,n,,,,false,lapsyd,nepalikathmandudialect
1130,mandan_mand1446,BIPA_a_u00E3u02D0,ãː,,,,false,lapsyd,mandan
1131,konkani_konk1267,BIPA_f_u0066,f,,,,false,lapsyd,konkani
1132,mofugugur_mofu1248,BIPA_hw_u0068u02B7,hʷ,,,,false,lapsyd,mofugugur
1133,xavante_xava1240,BIPA_e_u0065,e,,,,false,lapsyd,xavante
1134,ikacolombia_arhu1242,BIPA_s_u0073,s,,,,false,lapsyd,ikacolombia
1135,panare_enap1235,BIPA_ts_u0074u0073,'ts',,,,true,lapsyd,panare
1136,grico_mode1248,BIPA_k_u006B,k,,,,false,lapsyd,grico
1137,koya_koya1251,BIPA_d_u0256,ɖ,,,,false,lapsyd,koya
1138,sierramiwoksouthern_sout2985,BIPA_t_u0074,t,,,,false,lapsyd,sierramiwoksouthern
1139,finnish_finn1318,BIPA_o_u00F8u02D0,øː,,,,false,lapsyd,finnish
1140,imonda_imon1245,BIPA_i_u0069,i,,,,false,lapsyd,imonda
1141,ly_luuu1242,BIPA_p_u0070,p,,,,false,lapsyd,ly
1142,kelepapuanewguinea_kele1258,BIPA_j_u006A,j,,,,false,lapsyd,kelepapuanewguinea
1143,tetserret_tets1235,BIPA_z_u007Au02E4,zˤ,,,,false,lapsyd,tetserret
1144,newarikathmandudialect_newa1246,BIPA_dz_u0064u0324u007Au0324,d̤z̤,,,,false,lapsyd,newarikathmandudialect
1145,kalihna_gali1262,BIPA_w_u026F,ɯ,,,,false,lapsyd,kalihna
1146,totonacpapantladialect_papa1238,BIPA_j_u006A,j,,,,false,lapsyd,totonacpapantladialect
1147,yagua_yagu1244,BIPA_a_u00E3u02D0,ãː,,,,false,lapsyd,yagua
1148,kisisoutherndialect_sout2778,BIPA_mb_u006Du0062,mb,,,,false,lapsyd,kisisoutherndialect
1149,bulgarian_bulg1262,BIPA_p_u0070,p,,,,false,lapsyd,bulgarian
1150,cofan_cofa1242,BIPA_a_u0061,a,,,,false,lapsyd,cofan
1151,kanuri_cent2050,BIPA_s_u0283,ʃ,,,,false,lapsyd,kanuri
1152,lugbarawestern_lugb1240,BIPA_t_u0074u032A,t̪,,,,false,lapsyd,lugbarawestern
1153,sedang_seda1262,BIPA_i_u0129u0259u0303,ĩə̃,,,,false,lapsyd,sedang
1154,nung_nung1283,BIPA_a_u0061u02D0,aː,,,,false,lapsyd,nung
1155,sandawe_sand1273,BIPA_ng_u014Bu01C0,ŋǀ,,,,false,lapsyd,sandawe
1156,kalami_kala1373,BIPA_dz_u0064u0320u0292,d̠ʒ,,,,false,lapsyd,kalami
1157,tagalog_taga1270,BIPA_u_u0075u02D0,uː,,,,false,lapsyd,tagalog
1158,shasta_shas1239,BIPA_k_u006B,k,,,,false,lapsyd,shasta
1159,chamicuro_cham1318,BIPA_t_u0074,t,,,,false,lapsyd,chamicuro
1160,tekekukuyadialect_teke1280,BIPA_h_u0068,h,,,,false,lapsyd,tekekukuyadialect
1161,piapoco_piap1246,BIPA_p_u0070,p,,,,false,lapsyd,piapoco
1162,ladakhidialectofleh_lada1244,BIPA_kh_u006Bu02B0,kʰ,,,,false,lapsyd,ladakhidialectofleh
1164,lithuanian_lith1251,BIPA_kj_u006Bu02B2,kʲ,,,,false,lapsyd,lithuanian
1165,movima_movi1243,BIPA_i_u0069u02D0,iː,,,,false,lapsyd,movima
1166,bardi_bard1255,BIPA_t_u0074,t,,,,false,lapsyd,bardi
1168,xavante_xava1240,BIPA_i_u0069,i,,,,false,lapsyd,xavante
1169,gaahmg_gaam1241,BIPA__u0294,ʔ,,,,false,lapsyd,gaahmg
1170,yananortherndialect_yana1271,BIPA_th_u0074u02B0,tʰ,,,,false,lapsyd,yananortherndialect
1171,fijianboumaadialect_fiji1243,BIPA_k_u006B,k,,,,false,lapsyd,fijianboumaadialect
1172,slaveharedialectnorth_nort2942,BIPA_k_u006Bu02BC,kʼ,,,,false,lapsyd,slaveharedialectnorth
1173,siwi_siwi1239,BIPA_qw_u0071u02B7,qʷ,,,,false,lapsyd,siwi
1174,kpelle_libe1247,BIPA_kp_u006Bu0070,kp,,,,false,lapsyd,kpelle
1175,tohonooodham_toho1245,BIPA_i_u0069u02D0,iː,,,,false,lapsyd,tohonooodham
1176,limilngan_nucl1327,BIPA_w_u0077,w,,,,false,lapsyd,limilngan
1177,arabicmoroccan_moro1292,BIPA__u0294,ʔ,,,,false,lapsyd,arabicmoroccan
1178,purepecha_pure1242,BIPA_x_u0078,x,,,,false,lapsyd,purepecha
1179,tekekukuyadialect_teke1280,BIPA_o_u006F,o,,,,false,lapsyd,tekekukuyadialect
1180,norwegian_norw1258,BIPA_ai_u0061u0069,ai,,,,false,lapsyd,norwegian
1181,fasu_fasu1242,BIPA_p_u0070,p,,,,false,lapsyd,fasu
1182,southernnambiquara_sout2994,BIPA_j_u006A,j,,,,false,lapsyd,southernnambiquara
1183,nunggubuyu_nung1290,BIPA_l_u026D,ɭ,,,,false,lapsyd,nunggubuyu
1184,hunzib_hunz1247,BIPA_k_u006B,k,,,,false,lapsyd,hunzib
1185,eyak_eyak1241,BIPA_u_u0169u02D0,ũː,,,,false,lapsyd,eyak
1186,tlingit_tlin1245,BIPA_s_u0073,s,,,,false,lapsyd,tlingit
1187,gumuzsouthern_gumu1244,BIPA_u_u0075u02D0,uː,,,,false,lapsyd,gumuzsouthern
1188,jebero_jebe1250,BIPA_y_u028E,ʎ,,,,false,lapsyd,jebero
1189,zuni_zuni1245,BIPA_l_u006C,l,,,,false,lapsyd,zuni
1190,ikacolombia_arhu1242,BIPA_o_u006F,o,,,,false,lapsyd,ikacolombia
1191,bats_bats1242,BIPA_j_u006A,j,,,,false,lapsyd,bats
1192,abkhaz_abkh1244,BIPA_j_u029D,ʝ,,,,false,lapsyd,abkhaz
1193,selknamcentraldialect_onaa1245,BIPA_o_u0254,ɔ,,,,false,lapsyd,selknamcentraldialect
1194,ama_amas1236,BIPA_d_u0064,d,,,,false,lapsyd,ama
1196,pawaianoyobedialect_pawa1255,BIPA_o_u006F,o,,,,false,lapsyd,pawaianoyobedialect
1197,daga_daga1275,BIPA_ei_u0065u0069,ei,,,,false,lapsyd,daga
1198,noon_noon1242,BIPA_a_u0061u02D0,aː,,,,false,lapsyd,noon
1199,kera_kera1255,BIPA__u0259,'ə',,,,true,lapsyd,kera
1200,midwahgi_nucl1620,BIPA_l_u029F,ʟ,,,,false,lapsyd,midwahgi
1201,kashmiri_kash1277,BIPA_kh_u006Bu02B0,kʰ,,,,false,lapsyd,kashmiri
1202,southernnambiquara_sout2994,BIPA_j_u006Au0325,j̥,,,,false,lapsyd,southernnambiquara
1203,waris_wari1266,BIPA_l_u006C,l,,,,false,lapsyd,waris
1204,paiwansouthern_paiw1248,BIPA_p_u0070,p,,,,false,lapsyd,paiwansouthern
1205,kaurna_kaur1267,BIPA_n_u006Eu032A,n̪,,,,false,lapsyd,kaurna
1206,kpelle_libe1247,BIPA_ng_u014B,ŋ,,,,false,lapsyd,kpelle
1207,ngarinyin_ngar1284,BIPA_y_u028E,ʎ,,,,false,lapsyd,ngarinyin
1208,tiwanorthern_nort1550,BIPA_th_u0074u02B0,tʰ,,,,false,lapsyd,tiwanorthern
1209,lugbarawestern_lugb1240,BIPA_gb_u0261u0062,ɡb,,,,false,lapsyd,lugbarawestern
1210,themne_timn1235,BIPA_a_u0250,ɐ,,,,false,lapsyd,themne
1211,bats_bats1242,BIPA_ts_u0074u0320u0283,t̠ʃ,,,,false,lapsyd,bats
1212,tunica_tuni1252,BIPA_w_u0077,w,,,,false,lapsyd,tunica
1213,bashkir_bash1264,BIPA_u_u028A,ʊ,,,,false,lapsyd,bashkir
1214,ndjebbana_djee1236,BIPA_l_u026D,ɭ,,,,false,lapsyd,ndjebbana
1215,jicarillaapache_jica1244,BIPA_kwh_u006Bu02B7u02B0,kʷʰ,,,,false,lapsyd,jicarillaapache
1216,mundari_mund1320,BIPA_ts_u0074u0320u0283,t̠ʃ,,,,false,lapsyd,mundari
1219,kayardild_kaya1319,BIPA_a_u0061,a,,,,false,lapsyd,kayardild
1220,carnicobarese_carn1240,BIPA_i_u0268,ɨ,,,,false,lapsyd,carnicobarese
1221,ama_amas1236,BIPA_r_u0072,r,,,,false,lapsyd,ama
1222,kickapoo_kick1244,BIPA_p_u0070,p,,,,false,lapsyd,kickapoo
1223,diyari_dier1241,BIPA_t_u0074,t,,,,false,lapsyd,diyari
1224,hlailauhutbaodingdialect_hlai1239,BIPA_tsh_u0074u0073u02B0,'tsʰ',,,,true,lapsyd,hlailauhutbaodingdialect
1225,ghomaraberber_ghom1257,BIPA_t_u0074u02E4,tˤ,,,,false,lapsyd,ghomaraberber
1226,damana_mala1522,BIPA_j_u006A,j,,,,false,lapsyd,damana
1228,mumuye_nucl1240,BIPA_i_u0069,i,,,,false,lapsyd,mumuye
1229,drehu_dehu1237,BIPA_w_u0077,w,,,,false,lapsyd,drehu
1230,mixtecchalcatongowesternalta_sanm1295,BIPA_kw_u006Bu02B7,kʷ,,,,false,lapsyd,mixtecchalcatongowesternalta
1231,albaniantoskdialect_tosk1239,BIPA_f_u0066,f,,,,false,lapsyd,albaniantoskdialect
1232,mutsun_sout2986,BIPA_lj_u006Cu02B2,'lʲ',,,,true,lapsyd,mutsun
1233,kiowa_kiow1266,BIPA_e_u1EBDu02D0,ẽː,,,,false,lapsyd,kiowa
1235,brahui_brah1256,BIPA_dz_u0064u0320u0292,d̠ʒ,,,,false,lapsyd,brahui
1236,chamorro_cham1312,BIPA_l_u006C,l,,,,false,lapsyd,chamorro
1237,cofan_cofa1242,BIPA_g_u0261,ɡ,,,,false,lapsyd,cofan
1238,grico_mode1248,BIPA_l_u006Cu032A,l̪,,,,false,lapsyd,greek
1239,diraytata_dira1242,BIPA_k_u006Bu02BC,kʼ,,,,false,lapsyd,diraytata
1240,tlingit_tlin1245,BIPA_qw_u0071u02B7u02BC,qʷʼ,,,,false,lapsyd,tlingit
1241,tuva_tuvi1240,BIPA_u_u0075,u,,,,false,lapsyd,tuva
1242,nung_nung1283,BIPA_m_u006D,m,,,,false,lapsyd,nung
1243,chachi_chac1249,BIPA_l_u006C,l,,,,false,lapsyd,chachi
1244,tiwi_tiwi1244,BIPA_o_u0254,ɔ,,,,false,lapsyd,tiwi
1245,iban_iban1264,BIPA_a_u0061,a,,,,false,lapsyd,iban
1246,moghol_mogh1245,BIPA_z_u007A,'z',,,,true,lapsyd,moghol
1248,nanai_nana1257,BIPA_y_u0079,y,,,,false,lapsyd,nanai
1249,kobon_kobo1249,BIPA_n_u006E,n,,,,false,lapsyd,kobon
1250,chaha_seba1251,BIPA_s_u0073,s,,,,false,lapsyd,chaha
1251,sarygyugur_west2402,BIPA_w_u0077,w,,,,false,lapsyd,sarygyugur
1252,towa_jeme1245,BIPA__u0294,ʔ,,,,false,lapsyd,towa
1253,ikacolombia_arhu1242,BIPA_i_u0268,ɨ,,,,false,lapsyd,ikacolombia
1255,southernnambiquara_sout2994,BIPA_w_u0077u0330,w̰,,,,false,lapsyd,southernnambiquara
1256,ndyuka_ndyu1242,BIPA_d_u0064,d,,,,false,lapsyd,ndyuka
1257,quechuaimbabura_imba1240,BIPA_n_u0272,ɲ,,,,false,lapsyd,quechuaimbabura
1258,sindhi_sind1272,BIPA_x_u0078,x,,,,false,lapsyd,sindhi
1259,irantxe_iran1263,BIPA_e_u025B,ɛ,,,,false,lapsyd,irantxe
1260,makah_maka1318,BIPA_qw_u0071u02B7,qʷ,,,,false,lapsyd,makah
1261,cubeo_cube1242,BIPA_i_u0268u0303,ɨ̃,,,,false,lapsyd,cubeo
1262,tsafiki_colo1256,BIPA_s_u0073,'s',,,,true,lapsyd,tsafiki
1263,ladakhidialectofleh_lada1244,BIPA_ts_u0074u0320u0283,t̠ʃ,,,,false,lapsyd,ladakhidialectofleh
1264,mpur_mpur1239,BIPA_t_u0074,t,,,,false,lapsyd,mpur
1265,samre_samr1245,BIPA_tc_u0074u00E7,tç,,,,false,lapsyd,samre
1266,maithili_mait1250,BIPA_kh_u006Bu02B0,kʰ,,,,false,lapsyd,maithili
1267,maka_maca1260,BIPA_kh_u03C7,χ,,,,false,lapsyd,maka
1268,maltesestandard_malt1254,BIPA_r_u0072,r,,,,false,lapsyd,maltesestandard
1269,yoruba_yoru1245,BIPA_dz_u0064u0320u0292,d̠ʒ,,,,false,lapsyd,yoruba
1270,makah_maka1318,BIPA_ts_u0074u0073u02BC,tsʼ,,,,false,lapsyd,makah
1271,yidiny_yidi1250,BIPA_ng_u014B,ŋ,,,,false,lapsyd,yidiny
1272,maricopa_mari1440,BIPA_j_u006A,j,,,,false,lapsyd,maricopa
1273,kekchi_kekc1242,BIPA_p_u0070,p,,,,false,lapsyd,kekchi
1274,wirangu_wira1265,BIPA_p_u0070,p,,,,false,lapsyd,wirangu
1275,samre_samr1245,BIPA_o_u0254,ɔ,,,,false,lapsyd,samre
1276,chuvash_chuv1255,BIPA_w_u026F,ɯ,,,,false,lapsyd,chuvash
1277,diraytata_dira1242,BIPA_k_u006B,k,,,,false,lapsyd,diraytata
1278,mangghuerminxedialect_tuuu1240,BIPA_f_u0066,f,,,,false,lapsyd,mangghuerminxedialect
1279,norwegian_norw1258,BIPA_s_u0283,ʃ,,,,false,lapsyd,norwegian
1280,jicarillaapache_jica1244,BIPA_tl_u0074u032Au026Cu032Au02BC,t̪ɬ̪ʼ,,,,false,lapsyd,jicarillaapache
1281,bagirmi_bagi1246,BIPA_e_u025B,ɛ,,,,false,lapsyd,bagirmi
1282,madacameroun_mada1293,BIPA_b_u0253,ɓ,,,,false,lapsyd,madacameroun
1283,scottishgaelic_scot1245,BIPA_rg_u0072u02E0,rˠ,,,,false,lapsyd,scottishgaelic
1284,hebrewmodernashkenazic_hebr1245,BIPA_f_u0066,f,,,,false,lapsyd,hebrewmodernashkenazic
1285,uyghurstandarddialectofurumqi_uigh1240,BIPA_g_u0261,ɡ,,,,false,lapsyd,uyghurstandarddialectofurumqi
1286,jicarillaapache_jica1244,BIPA_gw_u0263u02B7,ɣʷ,,,,false,lapsyd,jicarillaapache
1287,basariguineesenegal_bass1258,BIPA_u_u0075,u,,,,false,lapsyd,basariguineesenegal
1288,bardi_bard1255,BIPA_a_u0061u02D0,aː,,,,false,lapsyd,bardi
1289,tabasaran_taba1259,BIPA__u0294,ʔ,,,,false,lapsyd,tabasaran
